Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
nothing in particular,off-topic,0.1772212986,30,true,Positive,"",""
fast drying,off-topic,0.1030831899,31,true,Negative,"",""
na,off-topic,0.0148416654,32,true,Positive,"",""
doesn't seem to dry any faster than other paint,off-topic,0.2010685491,33,true,Negative,"",""
none,off-topic,0.0498515951,34,true,Positive,"",""
Dries quickly,off-topic,0.2003214052,35,true,Negative,"",""
I don't have anything to say about that.,off-topic,0.3174991891,36,true,Neutral,"",""
the price,"price, high, much, way",0.1280999725,37,true,Negative,"",""
IDK,off-topic,0.0,38,true,Neutral,"",""
price..,"price, high, much, way",0.1280999725,39,true,Negative,"",""
the cost,off-topic,0.0933208181,40,true,Negative,"",""
makes it sound like it is natural,off-topic,0.1346312856,41,true,Negative,"",""
drying quickly.,off-topic,0.1937334691,42,true,Negative,"",""
Nothiong,off-topic,0.0,43,true,Positive,"",""
Not sure,off-topic,0.262306181,44,true,Neutral,"",""
price,"price, high, much, way",0.1280999725,45,true,Negative,"",""
been doine,off-topic,0.0,46,true,Negative,"",""
waterborne paint zero VOC,off-topic,0.1349184438,47,true,Negative,"",""
waterborne paint,off-topic,0.118965017,48,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,49,true,Positive,"",""
price,"price, high, much, way",0.1280999725,50,true,Negative,"",""
price,"price, high, much, way",0.1280999725,51,true,Negative,"",""
the steep price.,off-topic,0.1118877765,52,true,Negative,"",""
NONE,off-topic,0.0498515951,53,true,Positive,"",""
"The price is high, but I would try it for one time.",off-topic,0.3831643277,54,true,Neutral,"",""
n/a,off-topic,0.0,55,true,Positive,"",""
price,"price, high, much, way",0.1280999725,56,true,Negative,"",""
na,off-topic,0.0148416654,57,true,Positive,"",""
na,off-topic,0.0148416654,58,true,Positive,"",""
"I really don't care about VOCs, I want a paint that covers well and lasts a long time.",off-topic,0.1499632099,59,true,Negative,"",""
nlone,off-topic,0.0,60,true,Positive,"",""
n/a,off-topic,0.0,61,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,62,true,Positive,"",""
Dries quickly.,off-topic,0.2003214052,63,true,Negative,"",""
dk,off-topic,-0.0025129903,64,true,Neutral,"",""
not interested,off-topic,0.1058129751,65,true,Negative,"",""
See previous statement.,off-topic,0.2042430915,66,"","","",""
nothing,"nothing, see, can, ithat",0.1938168686,67,true,Positive,"",""
price,"price, high, much, way",0.1280999725,68,true,Negative,"",""
none,off-topic,0.0498515951,69,true,Positive,"",""
zero v are in some paint,off-topic,0.1136210421,70,true,Negative,"",""
One coat really,off-topic,0.0033549574,71,true,Negative,"",""
Price,"price, high, much, way",0.1280999725,72,true,Negative,"",""
don't know,off-topic,0.1567781331,73,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,74,true,Positive,"",""
price makes it impossible for most people to use or afford,off-topic,0.4898979486,75,true,Negative,"",""
It's green,off-topic,0.0036340922,76,true,Negative,"",""
"Dries quickly to allow full, same day use of the newly painted room",off-topic,0.3429421438,77,true,Negative,"",""
Not the packaging,off-topic,0.1108619571,78,true,Negative,"",""
the quick dry that allow you to use the room the same day.  Just about any good interior paint will allow me to use the room in 3 or 4 hours at possibly half the price.  I am assuming that the paint is one gallon.,off-topic,0.6619396486,79,true,Negative,"",""
paint?,off-topic,0.0841828487,80,true,Neutral,"",""
price,"price, high, much, way",0.1280999725,81,true,Negative,"",""
Nothing that I see.,"nothing, see, can, ithat",0.3357006638,82,true,Positive,"",""
price,"price, high, much, way",0.1280999725,83,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,84,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,85,true,Positive,"",""
no idea,off-topic,0.1507380834,86,true,Positive,"",""
WATERBORNE PAINT,off-topic,0.118965017,87,true,Negative,"",""
just paint,off-topic,0.1190525264,88,true,Negative,"",""
zero voc,off-topic,0.0660496137,89,true,Negative,"",""
n/a,off-topic,0.0,90,true,Positive,"",""
silly,off-topic,0.1298195375,91,true,Negative,"",""
The quick drying aspect. Most interior paints dry quickly.,off-topic,0.2051427412,92,true,Negative,"",""
price,"price, high, much, way",0.1280999725,93,true,Negative,"",""
Environmentally friendly,off-topic,0.0536669155,94,true,Negative,"",""
Price,"price, high, much, way",0.1280999725,95,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,96,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,97,true,Positive,"",""
do not know,off-topic,0.1567781331,98,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,99,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,100,true,Positive,"",""
Nothing,"nothing, see, can, ithat",0.1938168686,101,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,102,true,Positive,"",""
price,"price, high, much, way",0.1280999725,103,true,Negative,"",""
THE PRICE,"price, high, much, way",0.1811607184,104,true,Negative,"",""
n/a,off-topic,0.0,105,true,Positive,"",""
cost,off-topic,0.0933208181,106,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,107,true,Positive,"",""
zero VOC emissions,off-topic,0.093786765,108,true,Negative,"",""
none,off-topic,0.0498515951,109,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,110,true,Positive,"",""
don't paint,off-topic,0.0841828487,111,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,112,true,Positive,"",""
none,off-topic,0.0498515951,113,true,Positive,"",""
?,off-topic,0.0,114,"","","",""
at least its about the same price as other gallons,off-topic,0.253740384,115,true,Neutral,"",""
pricey,off-topic,0.0,116,true,Negative,"",""
Indoor paint,off-topic,0.0077141329,117,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,118,true,Positive,"",""
"This is a very expensive product. I realize it is brand new, but I would wait until the price came down. Also, I live in a remote community and don't think that this product would be available in my area for quite some time.",off-topic,0.347160568,119,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,120,true,Positive,"",""
na,off-topic,0.0148416654,121,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,122,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,123,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,124,true,Positive,"",""
paint,off-topic,0.0841828487,125,true,Negative,"",""
paint,off-topic,0.0841828487,126,true,Negative,"",""
I say the price!,off-topic,0.3403800457,127,true,Negative,"",""
cant find anything least,off-topic,0.3591403076,128,true,Positive,"",""
Other similar products available.,off-topic,0.1508862417,129,true,Negative,"",""
same day use,off-topic,0.0,130,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,131,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,132,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,133,true,Positive,"",""
nothing Ithat i can see.,"nothing, see, can, ithat",0.3876337373,134,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,135,true,Positive,"",""
There are paints already on the market like this.,"price, high, much, way",0.2587770944,136,true,Negative,"",""
the cost.  green products always cost more.,off-topic,0.2145727353,137,true,Negative,"",""
price,"price, high, much, way",0.1280999725,138,true,Negative,"",""
"Nothing, as far as I'm concerned.",off-topic,0.2487452972,139,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,140,true,Positive,"",""
n/a,off-topic,0.0,141,true,Positive,"",""
Nothing,"nothing, see, can, ithat",0.1938168686,142,true,Positive,"",""
too expensive,off-topic,0.1183833943,143,true,Negative,"",""
shape of can,off-topic,0.0821631996,144,true,Neutral,"",""
PRICE,"price, high, much, way",0.1280999725,145,true,Negative,"",""
I have a brand,off-topic,0.109326712,146,true,Negative,"",""
That like most other paints it dries quickly,off-topic,0.3379211442,147,true,Negative,"",""
Very pricey.,off-topic,0.0,148,true,Negative,"",""
Nothing,"nothing, see, can, ithat",0.1938168686,149,true,Positive,"",""
the price,"price, high, much, way",0.1280999725,150,true,Negative,"",""
price,"price, high, much, way",0.1280999725,151,true,Negative,"",""
Advertises how environment friendly it is.,off-topic,0.046121984,152,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,153,true,Positive,"",""
just paint,off-topic,0.1190525264,154,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,155,true,Positive,"",""
price is crazy high.,"price, high, much, way",0.275208918,156,true,Negative,"",""
price is very high. how does it cover? One coat two Coats?,off-topic,0.1120557074,157,true,Negative,"",""
dries in a day,off-topic,0.0474412357,158,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,159,true,Positive,"",""
paint is a copy of PPG,off-topic,0.0857346704,160,true,Negative,"",""
quick dry,off-topic,0.0724069257,161,true,Negative,"",""
Nothing I can think of at this time.,off-topic,0.3750673406,162,true,Positive,"",""
dries quickly,off-topic,0.2003214052,163,true,Negative,"",""
It's price!,"price, high, much, way",0.1811607184,164,true,Negative,"",""
price I would not pay that much for paint,"price, high, much, way",0.3600204685,165,true,Negative,"",""
dries quickly,off-topic,0.2003214052,166,true,Negative,"",""
Cost,off-topic,0.0933208181,167,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,168,true,Positive,"",""
water based paint,off-topic,0.0340280892,169,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,170,true,Positive,"",""
the fact its still in a un recyclable paint bucket that is not so green.,off-topic,0.0906600325,171,true,Negative,"",""
no opinion,off-topic,0.0547050838,172,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,173,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,174,true,Positive,"",""
colors,off-topic,0.0258965462,175,true,Negative,"",""
There is nothing least innovative.,off-topic,0.2965776317,176,true,Positive,"",""
very costly,off-topic,0.1209863688,177,true,Negative,"",""
dries quickly,off-topic,0.2003214052,178,true,Negative,"",""
not sure,off-topic,0.1854784793,179,true,Neutral,"",""
quick dry,off-topic,0.0724069257,180,true,Negative,"",""
I don't know.,off-topic,0.221717762,181,true,Neutral,"",""
Many environmentally friendly paints out there,off-topic,0.0954308111,182,true,Negative,"",""
price,"price, high, much, way",0.1280999725,183,true,Negative,"",""
"Well, I know that the price has gone up over the last several years, but I think that $56.99 is a VERY high price for a gallon of paint.",off-topic,0.8242466282,184,true,Negative,"",""
na,off-topic,0.0148416654,185,true,Positive,"",""
na,off-topic,0.0148416654,186,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,187,true,Positive,"",""
Nothing,"nothing, see, can, ithat",0.1938168686,188,true,Positive,"",""
The price,"price, high, much, way",0.1811607184,189,true,Negative,"",""
still paint,off-topic,0.1190525264,190,true,Negative,"",""
the price is way out of line,"price, high, much, way",0.2218756608,191,true,Negative,"",""
same day use of room,off-topic,0.1175075678,192,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,193,true,Positive,"",""
drying time,off-topic,0.0768090998,194,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,195,true,Positive,"",""
not sure,off-topic,0.1854784793,196,true,Neutral,"",""
No opinion.,off-topic,0.0773646714,197,true,Neutral,"",""
Dries quickly.,off-topic,0.2003214052,198,true,Negative,"",""
It dries quickly.,off-topic,0.2453426136,199,true,Negative,"",""
dries quickly,off-topic,0.2003214052,200,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,201,true,Positive,"",""
none,off-topic,0.0498515951,202,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,203,true,Positive,"",""
DK,off-topic,-0.0025129903,204,true,Neutral,"",""
not into the eco craze. Overpriced.,off-topic,0.0806476142,205,true,Negative,"",""
no comment,off-topic,0.1090164809,206,true,Neutral,"",""
price,"price, high, much, way",0.1280999725,207,true,Negative,"",""
granted a patent,off-topic,0.0746643119,208,true,Negative,"",""
Nothing really,"nothing, see, can, ithat",0.1938168686,209,true,Positive,"",""
none,off-topic,0.0498515951,210,true,Positive,"",""
It's paint.,off-topic,0.1190525264,211,true,Negative,"",""
price,"price, high, much, way",0.1280999725,212,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,213,true,Positive,"",""
dries quickly,off-topic,0.2003214052,214,true,Negative,"",""
its just a can of paint,off-topic,0.1458089711,215,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,216,true,Positive,"",""
n/a,off-topic,0.0,217,true,Positive,"",""
ITS JUST PAINT,off-topic,0.1458089711,218,true,Negative,"",""
DRIES QUICKLY,off-topic,0.2003214052,219,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,220,true,Positive,"",""
Zero Voc,off-topic,0.0660496137,221,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,222,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,223,true,Positive,"",""
The price - ouch!,"price, high, much, way",0.2258540339,224,true,Negative,"",""
price,"price, high, much, way",0.1280999725,225,true,Negative,"",""
the price,"price, high, much, way",0.1280999725,226,true,Negative,"",""
expensive.,off-topic,0.1183833943,227,true,Negative,"",""
NA,off-topic,0.0148416654,228,true,Positive,"",""
no voc,off-topic,0.0207222679,229,true,Negative,"",""
na,off-topic,0.0148416654,230,true,Positive,"",""
Nothing,"nothing, see, can, ithat",0.1938168686,231,true,Positive,"",""
sure costs a lot to make it,off-topic,0.3955630093,232,true,Negative,"",""
not sure,off-topic,0.1854784793,233,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,234,true,Positive,"",""
price,"price, high, much, way",0.1280999725,235,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,236,true,Positive,"",""
everything,off-topic,0.1788687065,237,true,Negative,"",""
paint,off-topic,0.0841828487,238,true,Negative,"",""
dries quickly,off-topic,0.2003214052,239,true,Negative,"",""
unsure,off-topic,0.144598997,240,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,241,true,Positive,"",""
That it drys to full use in one day.,off-topic,0.1640075143,242,true,Negative,"",""
That it's a paint.,off-topic,0.1190525264,243,true,Negative,"",""
price it makes it cost prohibitive for a lot of people,off-topic,0.4517189008,244,true,Negative,"",""
The price,"price, high, much, way",0.1811607184,245,true,Negative,"",""
it's just a paint,off-topic,0.1190525264,246,true,Negative,"",""
dries quickly -- quite a few paints dry the same day,off-topic,0.2507256773,247,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,248,true,Positive,"",""
"patent, who cares",off-topic,0.1092906428,249,true,Negative,"",""
the crazy price. I can get a good gallon of paint for $15,off-topic,0.5977536043,250,true,Negative,"",""
Has a patent.,off-topic,0.075666047,251,true,Negative,"",""
none,off-topic,0.0498515951,252,true,Positive,"",""
none,off-topic,0.0498515951,253,true,Positive,"",""
mmmmmmmmm,off-topic,0.0,254,"","","",""
the price,"price, high, much, way",0.1280999725,255,true,Negative,"",""
Granted a patent which usually means a higher price than necessary.,off-topic,0.2699978927,256,true,Negative,"",""
The packaging. It looks like a regular primer can.,off-topic,0.1250505,257,true,Neutral,"",""
nothing,"nothing, see, can, ithat",0.1938168686,258,true,Positive,"",""
Don't know what zero VOC means.  Unable to see what ingredients really are,off-topic,0.4870487258,259,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,260,true,Positive,"",""
its paint,off-topic,0.0841828487,261,true,Negative,"",""
it's paint,off-topic,0.0841828487,262,true,Negative,"",""
na,off-topic,0.0148416654,263,true,Positive,"",""
i don't know - the price?,off-topic,0.267078457,264,true,Neutral,"",""
that it dries quickly,off-topic,0.2003214052,265,true,Negative,"",""
It is priced too high.,off-topic,0.1352413381,266,true,Negative,"",""
not sure,off-topic,0.1854784793,267,true,Neutral,"",""
dries quickly,off-topic,0.2003214052,268,true,Negative,"",""
don't see any,off-topic,0.0,269,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,270,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,271,true,Positive,"",""
"Same-day use. Most paints are that way, aren't they?",off-topic,0.1585207318,272,true,Negative,"",""
It is paint,off-topic,0.1190525264,273,true,Negative,"",""
none,off-topic,0.0498515951,274,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,275,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,276,true,Positive,"",""
the high price!,"price, high, much, way",0.1811607184,277,true,Negative,"",""
probably the price,off-topic,0.1416621962,278,true,Negative,"",""
none,off-topic,0.0498515951,279,true,Positive,"",""
the price,"price, high, much, way",0.1280999725,280,true,Negative,"",""
?,off-topic,0.0,281,"","","",""
na,off-topic,0.0148416654,282,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,283,true,Positive,"",""
"dries quickly, has a patent, environmentally friendly",off-topic,0.1932953798,284,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,285,true,Positive,"",""
"dries quick but, so do others",off-topic,0.2417521294,286,true,Negative,"",""
na,off-topic,0.0148416654,287,true,Positive,"",""
Dries quickly,off-topic,0.2003214052,288,true,Negative,"",""
the price,"price, high, much, way",0.1280999725,289,true,Negative,"",""
environmentally friendly,off-topic,0.0536669155,290,true,Negative,"",""
Not a thing,off-topic,0.2288514803,291,true,Positive,"",""
The price!,"price, high, much, way",0.1811607184,292,true,Negative,"",""
price,"price, high, much, way",0.1280999725,293,true,Negative,"",""
No comment.,off-topic,0.1541725858,294,true,Neutral,"",""
dries fast,off-topic,0.0963921006,295,true,Negative,"",""
pricy,off-topic,0.0,296,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,297,true,Positive,"",""
